id,LeftFormulaID,RightFormulaID,RelationType,Weight,LeftFormulaName,RightFormulaName,RelationTypeName,Description
1,39321,39326,1,NULL,苦参丸,苦参丸,等同,药物组成等同
2,39321,39319,1,NULL,苦参丸,苦参丸,等同,药物组成等同
3,39321,39409,1,NULL,苦参丸,苦参膏,等同,药物组成等同
4,39321,39371,1,NULL,苦参丸,苦参饮,等同,药物组成等同
5,39321,39378,1,NULL,苦参丸,苦参酒,等同,药物组成等同
6,39321,39370,1,NULL,苦参丸,苦参饮,等同,药物组成等同
7,39321,39401,1,NULL,苦参丸,苦参散,等同,药物组成等同
8,39321,39342,1,NULL,苦参丸,苦参子仁酊,等同,药物组成等同
9,39321,34965,1,NULL,苦参丸,参末散,等同,药物组成等同
10,39321,39306,1,NULL,苦参丸,苦参丸,等同,药物组成等同
11,39321,30103,1,NULL,苦参丸,谷疸丸,等同,药物组成等同
12,39321,39329,1,NULL,苦参丸,苦参丸,等同,药物组成等同
13,39321,39355,1,NULL,苦参丸,苦参汤,等同,药物组成等同
14,39321,39330,1,NULL,苦参丸,苦参丸,等同,药物组成等同
15,39321,39399,1,NULL,苦参丸,苦参散,等同,药物组成等同
16,39326,39319,1,NULL,苦参丸,苦参丸,等同,药物组成等同
17,39326,39409,1,NULL,苦参丸,苦参膏,等同,药物组成等同
18,39326,39371,1,NULL,苦参丸,苦参饮,等同,药物组成等同
19,39326,39378,1,NULL,苦参丸,苦参酒,等同,药物组成等同
20,39326,39370,1,NULL,苦参丸,苦参饮,等同,药物组成等同
21,39326,39401,1,NULL,苦参丸,苦参散,等同,药物组成等同
22,39326,39321,1,NULL,苦参丸,苦参丸,等同,药物组成等同
23,39326,39342,1,NULL,苦参丸,苦参子仁酊,等同,药物组成等同
24,39326,34965,1,NULL,苦参丸,参末散,等同,药物组成等同
25,39326,39306,1,NULL,苦参丸,苦参丸,等同,药物组成等同
26,39326,30103,1,NULL,苦参丸,谷疸丸,等同,药物组成等同
27,39326,39329,1,NULL,苦参丸,苦参丸,等同,药物组成等同
28,39326,39355,1,NULL,苦参丸,苦参汤,等同,药物组成等同
29,39326,39330,1,NULL,苦参丸,苦参丸,等同,药物组成等同
30,39326,39399,1,NULL,苦参丸,苦参散,等同,药物组成等同
31,39329,39326,1,NULL,苦参丸,苦参丸,等同,药物组成等同
32,39329,39319,1,NULL,苦参丸,苦参丸,等同,药物组成等同
33,39329,39409,1,NULL,苦参丸,苦参膏,等同,药物组成等同
34,39329,39371,1,NULL,苦参丸,苦参饮,等同,药物组成等同
35,39329,39378,1,NULL,苦参丸,苦参酒,等同,药物组成等同
36,39329,39370,1,NULL,苦参丸,苦参饮,等同,药物组成等同
37,39329,39401,1,NULL,苦参丸,苦参散,等同,药物组成等同
38,39329,39321,1,NULL,苦参丸,苦参丸,等同,药物组成等同
39,39329,39342,1,NULL,苦参丸,苦参子仁酊,等同,药物组成等同
40,39329,34965,1,NULL,苦参丸,参末散,等同,药物组成等同
41,39329,39306,1,NULL,苦参丸,苦参丸,等同,药物组成等同
42,39329,30103,1,NULL,苦参丸,谷疸丸,等同,药物组成等同
43,39329,39355,1,NULL,苦参丸,苦参汤,等同,药物组成等同
44,39329,39330,1,NULL,苦参丸,苦参丸,等同,药物组成等同
45,39329,39399,1,NULL,苦参丸,苦参散,等同,药物组成等同
46,39330,39326,1,NULL,苦参丸,苦参丸,等同,药物组成等同
47,39330,39319,1,NULL,苦参丸,苦参丸,等同,药物组成等同
48,39330,39409,1,NULL,苦参丸,苦参膏,等同,药物组成等同
49,39330,39371,1,NULL,苦参丸,苦参饮,等同,药物组成等同
50,39330,39378,1,NULL,苦参丸,苦参酒,等同,药物组成等同
51,39330,39370,1,NULL,苦参丸,苦参饮,等同,药物组成等同
52,39330,39401,1,NULL,苦参丸,苦参散,等同,药物组成等同
53,39330,39321,1,NULL,苦参丸,苦参丸,等同,药物组成等同
54,39330,39342,1,NULL,苦参丸,苦参子仁酊,等同,药物组成等同
55,39330,34965,1,NULL,苦参丸,参末散,等同,药物组成等同
56,39330,39306,1,NULL,苦参丸,苦参丸,等同,药物组成等同
57,39330,30103,1,NULL,苦参丸,谷疸丸,等同,药物组成等同
58,39330,39329,1,NULL,苦参丸,苦参丸,等同,药物组成等同
59,39330,39355,1,NULL,苦参丸,苦参汤,等同,药物组成等同
60,39330,39399,1,NULL,苦参丸,苦参散,等同,药物组成等同
61,39334,7678,1,NULL,苦参丸,三黄散,等同,药物组成等同
62,39342,39326,1,NULL,苦参子仁酊,苦参丸,等同,药物组成等同
63,39342,39319,1,NULL,苦参子仁酊,苦参丸,等同,药物组成等同
64,39342,39409,1,NULL,苦参子仁酊,苦参膏,等同,药物组成等同
65,39342,39371,1,NULL,苦参子仁酊,苦参饮,等同,药物组成等同
66,39342,39378,1,NULL,苦参子仁酊,苦参酒,等同,药物组成等同
67,39342,39370,1,NULL,苦参子仁酊,苦参饮,等同,药物组成等同
68,39342,39401,1,NULL,苦参子仁酊,苦参散,等同,药物组成等同
69,39342,39321,1,NULL,苦参子仁酊,苦参丸,等同,药物组成等同
70,39342,34965,1,NULL,苦参子仁酊,参末散,等同,药物组成等同
71,39342,39306,1,NULL,苦参子仁酊,苦参丸,等同,药物组成等同
72,39342,30103,1,NULL,苦参子仁酊,谷疸丸,等同,药物组成等同
73,39342,39329,1,NULL,苦参子仁酊,苦参丸,等同,药物组成等同
74,39342,39355,1,NULL,苦参子仁酊,苦参汤,等同,药物组成等同
75,39342,39330,1,NULL,苦参子仁酊,苦参丸,等同,药物组成等同
76,39342,39399,1,NULL,苦参子仁酊,苦参散,等同,药物组成等同
77,39351,10309,3,NULL,苦参汤,二白汤,包含," +大枣(22994),艾叶(20206)"
78,39353,7481,1,NULL,苦参汤,三物黄芩汤,等同,药物组成等同
79,7544,31016,3,NULL,三神散,护命丹,包含, +寒水石(17960)
80,7544,14188,1,NULL,三神散,仙乌豆,等同,药物组成等同
81,7544,32313,3,NULL,三神散,白矾丸,包含, +硫黄(17849)
82,7544,38701,3,NULL,三神散,矾丹丸,包含, +硫黄(17849)
